MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit 
2021-04-15,大業甲字942009,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-04-15,大業甲字943001,64000,高雄市左營區世運大道3號,南勝利營區,
2021-04-17,大業甲字240308,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-04-17,大業甲字240400,64000,高雄市左營區世運大道3號,南勝利營區,
2021-04-17,精誠甲字230900,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-04-17,博愛甲字251805,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-04-17,博愛甲字251408,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區,
2021-04-17,博愛甲字251409,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區,
2021-04-17,博愛甲字251401,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區,
2021-04-17,博愛甲字251402,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區,
2021-04-17,博愛甲字241203,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-04-17,衛國甲字240100,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-04-19,博愛甲字932032,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-04-20,博愛甲字932034,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-04-20,博愛甲字932002,10002,宜蘭縣宜蘭市金六結路236號,軍功營區,
2021-04-20,精誠甲字953038,66000,臺中市潭子區仁愛路一段1號,新田營區,
2021-04-21,精誠甲字943030,64000,高雄市大樹區中正一路1號,大樹營區,
2021-04-21,精誠甲字953040,66000,臺中市后里區中正路1號,后里火車站,
2021-04-21,博愛甲字932006,10002,宜蘭縣宜蘭市金六結路236號,軍功營區,
2021-04-21,博愛甲字932007,10002,宜蘭縣宜蘭市金六結路236號,軍功營區,
2021-04-21,仁愛甲字953002,10010,嘉義縣水上鄉榮典路1號,嘉義基地,
2021-04-22,仁愛甲字951005,10010,嘉義縣水上鄉榮典路1號,嘉義基地,
